x,y
-105.35,37.96
-133.47,37.96
-124.1,28.59
-49.1,28.59
-58.47,28.59
-67.85,28.59
-77.22,28.59
-86.6,28.59
-95.97,28.59
-105.35,28.59
-133.47,28.59
-39.72,19.21
-39.72,9.84
-124.1,19.21
-49.1,19.21
-67.85,19.21
-77.22,19.21
-86.6,19.21
-95.97,19.21
-105.35,19.21
-114.72,19.21
-49.1,9.84
-58.47,9.84
-67.85,9.84
-77.22,9.84
-86.6,9.84
-95.97,9.84
-105.35,9.84
-114.72,9.84
-133.47,9.84
-39.72,-18.29
-58.47,-18.29
-86.6,-18.29
-67.85,-18.29
-77.22,-18.29
-49.1,0.46
-58.47,0.46
-67.85,0.46
-77.22,0.46
-86.6,0.46
-95.97,0.46
-114.72,0.46
-124.1,0.46
-133.47,0.46
-39.72,-8.91
-49.1,-8.91
-58.47,-8.91
-77.22,-8.91
-86.6,-8.91
-95.97,-8.91
-105.35,-8.91
-124.1,-8.91
-133.47,-8.91
-95.97,-18.29
-105.35,-18.29
-114.72,-18.29
-124.1,-18.29
-49.1,-27.66
-67.85,-27.66
-77.22,-27.66
-95.97,-27.66
-105.35,-27.66
-114.72,-27.66
-124.1,-27.66
-39.72,-37.04
-49.1,-37.04
-58.47,-37.04
-67.85,-37.04
-77.22,-37.04
-86.6,-37.04
-95.97,-37.04
-105.35,-37.04
-114.72,-37.04
-124.1,-37.04
-133.47,-37.04
-142.85,-37.04
-142.85,-18.29
-142.85,28.59
-142.85,19.21
-142.85,9.84
-152.22,28.59
80.03,-27.66
-535.34,141.09
-535.34,131.71
-535.34,122.34
-535.34,103.59
-535.34,94.21
-535.34,75.46
-535.34,66.09
-535.34,56.71
-535.34,47.34
-525.97,141.09
-525.97,131.71
-525.97,122.34
-525.97,112.96
-525.97,103.59
-525.97,94.21
-525.97,84.84
-525.97,75.46
-525.97,66.09
-525.97,56.71
-525.97,47.34
-516.59,141.09
-516.59,131.71
-516.59,122.34
-516.59,112.96
-516.59,103.59
-516.59,94.21
-516.59,84.84
-516.59,75.46
-516.59,66.09
-516.59,56.71
-516.59,47.34
-507.22,141.09
-507.22,131.71
-507.22,103.59
-507.22,94.21
-507.22,84.84
-507.22,75.46
-507.22,66.09
-507.22,56.71
-507.22,47.34
-497.84,141.09
-497.84,131.71
-497.84,103.59
-497.84,94.21
-497.84,84.84
-497.84,75.46
-497.84,66.09
-497.84,56.71
-497.84,47.34
-488.47,141.09
-488.47,131.71
-488.47,122.34
-488.47,112.96
-488.47,103.59
-488.47,94.21
-488.47,84.84
-488.47,75.46
-488.47,66.09
-488.47,56.71
-488.47,47.34
-479.09,141.09
-479.09,131.71
-479.09,122.34
-479.09,112.96
-479.09,103.59
-479.09,94.21
-479.09,84.84
-479.09,75.46
-479.09,66.09
-479.09,56.71
-479.09,47.34
-469.72,141.09
-469.72,131.71
-469.72,122.34
-469.72,112.96
-469.72,103.59
-469.72,94.21
-469.72,84.84
-469.72,75.46
-469.72,66.09
-469.72,56.71
-469.72,47.34
-460.34,141.09
-460.34,131.71
-460.34,122.34
-460.34,112.96
-460.34,103.59
-460.34,94.21
-460.34,84.84
-460.34,75.46
-460.34,66.09
-460.34,56.71
-460.34,47.34
-450.97,141.09
-450.97,131.71
-450.97,122.34
-450.97,112.96
-450.97,103.59
-450.97,94.21
-450.97,84.84
-450.97,75.46
-450.97,66.09
-450.97,56.71
